		Mar049	Mar076	Mar080	MSMM6	MSMOE2
Tselinnoe_4349	9	231	120	224	141	147
Tselinnoe_4349	9	237	120	228	153	175
Tselinnoe_4350	9	227	120	224	141	147
Tselinnoe_4350	9	231	124	230	153	183
Tselinnoe_4351	9	231	120	226	141	145
Tselinnoe_4351	9	241	124	226	167	147
Tselinnoe_4352	9	241	124	226	139	145
Tselinnoe_4352	9	241	132	226	147	147
Tselinnoe_4353	9	229	118	226	139	145
Tselinnoe_4353	9	229	124	226	145	147
Tselinnoe_4354	9	227	120	224	141	141
Tselinnoe_4354	9	235	128	224	153	145
Tselinnoe_4355	9	229	124	226	139	141
Tselinnoe_4355	9	235	130	230	145	145
Tselinnoe_4356	9	229	124	226	139	145
Tselinnoe_4356	9	241	132	226	145	147
Ustburen_2776	10	241	120	218	145	139
Ustburen_2776	10	243	124	226	157	141
Ustburen_2777	10	231	120	216	141	171
Ustburen_2777	10	233	120	218	141	175
Ustburen_2778	10	233	114	218	139	139
Ustburen_2778	10	235	114	226	165	141
